,model name,base-rules@verification time,with-r-last@verification time,veri time ratio,base-rules@state space size,with-r-last@state space size,state space ratio,with-r-last@reduce time,base-rules@answer
56,MultiCrashLeafsetExtension-PT-S24C03,1.34,1.41,0.9503546099290782,1097352,1097352,1.0,0.158389,TRUE
237,DNAwalker-PT-03track12BlockBoth,10.04,10.56,0.9507575757575756,14022,14022,1.0,0.000191,FALSE
397,DNAwalker-PT-10ringRL,20.08,21.08,0.952561669829222,185635515,185635515,1.0,0.000249,TRUE
84,GlobalResAllocation-PT-03,10.35,10.86,0.9530386740331492,61309,61309,1.0,0.036744,FALSE
412,DNAwalker-PT-10ringRL,191.02,199.82,0.9559603643278952,185437003,185437003,1.0,0.000255,TRUE
361,DNAwalker-PT-11ringRR,136.47,142.49,0.9577514211523614,178950975,178950975,1.0,0.000253,TRUE
359,DNAwalker-PT-11ringRR,183.97,192.04,0.9579775046865237,178950975,178950975,1.0,0.000244,TRUE
299,BridgeAndVehicles-PT-V20P10N50,2.07,2.16,0.9583333333333331,31785879,31785879,1.0,0.067493,TRUE
52,MultiCrashLeafsetExtension-PT-S24C03,3.1,3.23,0.9597523219814241,1097139,1097139,1.0,0.157484,TRUE
401,DNAwalker-PT-09ringLR,267.82,278.84,0.9604791278152346,188264221,188264221,1.0,0.000242,FALSE
266,DNAwalker-PT-05track28LR,36.95,38.47,0.9604886924876528,593780746,593780746,1.0,0.000544,TRUE
381,GPPP-PT-C0001N0000000100,20.01,20.82,0.9610951008645534,2846782,2846782,1.0,5.2e-05,TRUE
280,DNAwalker-PT-03track12BlockBoth,5.49,5.71,0.9614711033274956,15811,15811,1.0,6.7e-05,FALSE
43,MultiCrashLeafsetExtension-PT-S24C04,1.25,1.3,0.9615384615384615,8438750,8438750,1.0,0.226189,FALSE
405,DNAwalker-PT-09ringLR,191.04,198.4,0.9629032258064515,178950975,178950975,1.0,0.000244,TRUE
435,DNAwalker-PT-09ringLR,31.45,32.66,0.9629516227801593,11631915,11631915,1.0,0.000698,TRUE
282,DNAwalker-PT-03track12BlockBoth,6.17,6.4,0.9640624999999999,6416,6416,1.0,0.000178,FALSE
265,DNAwalker-PT-05track28LR,243.75,252.41,0.9656907412543084,383380498,383380498,1.0,0.000544,TRUE
424,DNAwalker-PT-10ringRL,57.43,59.45,0.9660218671152229,29396584,29396584,1.0,0.000695,TRUE
