,model name,query index,base-rules@verification time,with-r-last@verification time,veri time ratio,base-rules@state space size,with-r-last@state space size,state space ratio,net size,with-r-last@reduce time,base-rules@answer
5600,AutoFlight-PT-12b,7,0.03,0.12,0.25,64878,64878,1.0,2250,0.002238,FALSE
5599,AutoFlight-PT-12b,8,0.02,0.12,0.16666666666666669,31,31,1.0,2250,0.002194,TRUE
5598,AutoFlight-PT-12b,9,0.06,0.03,2.0,816481,816481,1.0,2250,0.002248,TRUE
5597,AutoFlight-PT-12b,10,0.02,0.08,0.25,426,426,1.0,2250,0.002256,TRUE
5596,AutoFlight-PT-12b,11,0.03,0.47,0.06382978723404255,14575,14575,1.0,2250,0.001901,FALSE
5595,AutoFlight-PT-12b,12,0.03,0.08,0.375,124305,124305,1.0,2250,0.002209,TRUE
5594,AutoFlight-PT-12b,13,0.06,0.27,0.2222222222222222,996,996,1.0,2250,0.002199,TRUE
5593,AutoFlight-PT-12b,14,0.04,0.11,0.36363636363636365,14385,14385,1.0,2250,0.002262,TRUE
5592,AutoFlight-PT-12b,15,0.11,0.48,0.22916666666666669,4494,4494,1.0,2250,0.002201,TRUE
5591,AutoFlight-PT-12b,16,0.05,0.11,0.4545454545454546,425,425,1.0,2250,0.001774,FALSE
5590,AutoFlight-PT-24a,1,0.06,0.07,0.857142857142857,57,57,1.0,1212,0.001842,FALSE
5589,AutoFlight-PT-24a,2,0.05,0.04,1.25,57,57,1.0,1212,0.001825,FALSE
5572,AutoFlight-PT-06b,2,0.04,0.11,0.36363636363636365,3,3,1.0,1146,0.000644,FALSE
5588,AutoFlight-PT-24a,3,0.09,0.07,1.2857142857142856,4826,4826,1.0,1212,0.002282,TRUE
5586,AutoFlight-PT-24a,5,0.01,0.04,0.25,54,54,1.0,1212,0.001785,FALSE
5585,AutoFlight-PT-24a,6,0.03,0.07,0.4285714285714285,917,917,1.0,1212,0.001794,TRUE
5584,AutoFlight-PT-24a,7,0.01,0.03,0.33333333333333337,359,359,1.0,1212,0.001795,TRUE
5583,AutoFlight-PT-24a,8,0.03,0.08,0.375,945,945,1.0,1212,0.001831,FALSE
5582,AutoFlight-PT-12a,13,0.06,0.14,0.4285714285714285,87458,87458,1.0,612,0.000861,FALSE
5581,AutoFlight-PT-12a,11,0.09,0.21,0.42857142857142855,167154,167154,1.0,612,0.000864,FALSE
5580,AutoFlight-PT-06a,11,0.07,0.14,0.5,44,44,1.0,312,0.000404,FALSE
5579,AutoFlight-PT-12a,10,0.02,0.16,0.125,437,437,1.0,612,0.000882,TRUE
5578,AutoFlight-PT-06a,12,0.13,0.24,0.5416666666666667,4534,4534,1.0,312,0.000397,FALSE
5577,AutoFlight-PT-06a,13,0.07,0.26,0.2692307692307693,222,222,1.0,312,0.000399,FALSE
5576,AutoFlight-PT-06a,14,0.02,0.16,0.125,574,574,1.0,312,0.00039,TRUE
5575,AutoFlight-PT-06a,15,0.06,0.08,0.75,162,162,1.0,312,0.000425,FALSE
5574,AutoFlight-PT-06a,16,0.04,0.17,0.23529411764705882,44,44,1.0,312,0.000388,FALSE
5587,AutoFlight-PT-24a,4,0.05,0.14,0.35714285714285715,294,294,1.0,1212,0.002277,TRUE
5541,DNAwalker-PT-06track28RL,10,68.38,70.67,0.9675958681194282,245427908,245427908,1.0,284,0.000743,FALSE
5539,DNAwalker-PT-06track28RL,13,0.04,0.36,0.11111111111111112,271034406,271034406,1.0,284,0.000533,TRUE
5602,AutoFlight-PT-12b,5,0.03,0.02,1.5,639125,639125,1.0,2250,0.00227,TRUE
5506,DNAwalker-PT-04track28LL,1,0.05,0.63,0.07936507936507937,144648940,144648940,1.0,284,0.000733,TRUE
5505,DNAwalker-PT-04track28LL,2,105.72,105.22,1.0047519482988025,144465428,144465428,1.0,284,0.000733,TRUE
5504,DNAwalker-PT-04track28LL,3,0.03,0.04,0.75,526679854,526679854,1.0,284,0.000541,TRUE
5503,DNAwalker-PT-04track28LL,4,300.06,300.05,1.0000333277787035,435517643,435517643,1.0,284,0.000545,NONE
5502,DNAwalker-PT-04track28LL,5,163.72,160.87,1.01771616833468,144648940,144648940,1.0,284,0.000751,FALSE
5501,DNAwalker-PT-04track28LL,8,162.95,165.72,0.9832850591358918,144655680,144655680,1.0,284,0.000746,FALSE
5500,DNAwalker-PT-04track28LL,10,10.03,10.13,0.9901283316880551,375734407,375734407,1.0,284,0.000748,FALSE
5499,DNAwalker-PT-04track28LL,11,0.06,0.09,0.6666666666666666,203818725,203818725,1.0,284,0.000519,FALSE
5498,DNAwalker-PT-04track28LL,13,0.03,0.13,0.23076923076923075,216865055,216865055,1.0,284,0.000743,FALSE
5497,DNAwalker-PT-04track28LL,14,300.05,300.09,0.9998667066546704,246988215,246988215,1.0,284,0.00053,NONE
5496,DNAwalker-PT-04track28LL,15,300.03,300.05,0.9999333444425927,155085797,155085797,1.0,284,0.000522,NONE
5495,DNAwalker-PT-04track28LL,16,131.7,134.92,0.9761340053364957,198838593,198838593,1.0,284,0.000735,FALSE
5494,DNAwalker-PT-05track28LR,1,263.64,263.5,1.0005313092979127,151848497,151848497,1.0,284,0.000522,FALSE
5507,DNAwalker-PT-03track12BlockBoth,16,0.01,0.02,0.5,16638,16638,1.0,98,0.000131,FALSE
5493,DNAwalker-PT-05track28LR,2,0.05,0.05,1.0,242762581,242762581,1.0,284,0.000743,FALSE
5491,DNAwalker-PT-05track28LR,5,186.57,186.96,0.9979139922978176,257905335,257905335,1.0,284,0.000528,FALSE
5490,DNAwalker-PT-05track28LR,6,79.18,79.61,0.9945986685089814,299930170,299930170,1.0,284,0.00074,FALSE
